t_s,v_in
1073.7093650000002,-2.2
1073.7093655,-2.0
1073.709366,-2.0
1073.7093665,-2.4000000000000004
1073.7093670000002,-2.0
1073.7093675,-2.4000000000000004
1073.709368,-2.2
1073.7093685,-2.0
1073.7093690000002,-2.2
1073.7093695,-1.8
1073.70937,-2.0
1073.7093705,-1.8
1073.7093710000001,-2.0
1073.7093715,-1.6
1073.709372,-1.8
1073.7093725,-1.4000000000000001
1073.7093730000001,-1.6
1073.7093735,-1.2000000000000002
1073.709374,-1.4000000000000001
1073.7093745,-0.8
1073.7093750000001,-1.0
1073.7093755,-0.6000000000000001
1073.709376,-0.8
1073.7093765,-0.4
1073.7093770000001,-0.4
1073.7093775,0.0
1073.709378,-0.2
1073.7093785,0.4
1073.7093790000001,0.2
1073.7093795,0.6000000000000001
1073.70938,0.4
1073.7093805,1.0
1073.7093810000001,0.8
1073.7093815,1.2000000000000002
1073.709382,1.0
1073.7093825,1.4000000000000001
1073.7093830000001,1.4000000000000001
1073.7093835,1.8
1073.709384,1.6
1073.7093845000002,2.0
1073.709385,1.8
1073.7093855,2.4000000000000004
1073.709386,2.0
1073.7093865000002,2.4000000000000004
1073.709387,2.6
1073.7093875,2.4000000000000004
1073.709388,2.4000000000000004
1073.7093885000002,2.8000000000000003
1073.709389,2.6
1073.7093895,3.0
1073.70939,3.0
1073.7093905000002,2.6
1073.709391,2.8000000000000003
1073.7093915,3.0
1073.709392,3.0
1073.7093925000001,2.8000000000000003
1073.709393,3.0
1073.7093935,2.6
1073.709394,2.6
1073.7093945000001,2.8000000000000003
1073.709395,2.8000000000000003
1073.7093955,2.4000000000000004
1073.709396,2.6
1073.7093965000001,2.2
1073.709397,2.4000000000000004
1073.7093975,2.0
1073.709398,2.2
1073.7093985000001,1.8
1073.709399,2.0
1073.7093995,1.6
1073.7094,1.6
1073.7094005000001,1.2000000000000002
1073.709401,1.4000000000000001
1073.7094015,1.0
1073.709402,1.0
1073.7094025000001,0.6000000000000001
1073.709403,0.8
1073.7094035,0.4
1073.709404,0.4
1073.7094045000001,0.0
1073.709405,0.2
1073.7094055,-0.2
1073.7094060000002,-0.2
1073.7094065000001,-0.6000000000000001
1073.709407,-0.4
1073.7094075,-1.0
1073.7094080000002,-0.8
1073.7094085,-1.2000000000000002
1073.709409,-1.0
1073.7094095,-1.4000000000000001
1073.7094100000002,-1.2000000000000002
1073.7094105,-1.6
1073.709411,-1.4000000000000001
1073.7094115,-2.0
1073.7094120000002,-1.6
1073.7094125,-2.0
1073.709413,-1.8
1073.7094135,-2.2
1073.7094140000002,-2.0
1073.7094145,-2.2
1073.709415,-2.0
1073.7094155,-2.4000000000000004
1073.7094160000001,-2.4000000000000004
1073.7094165,-2.0
1073.709417,-2.0
1073.7094175,-2.4000000000000004
1073.7094180000001,-2.0
1073.7094185,-2.4000000000000004
1073.709419,-2.0
1073.7094195,-2.2
1073.7094200000001,-2.2
1073.7094205,-1.8
1073.709421,-2.0
1073.7094215,-1.6
1073.7094220000001,-1.8
1073.7094225,-1.4000000000000001
1073.709423,-1.6
1073.7094235,-1.2000000000000002
1073.7094240000001,-1.4000000000000001
1073.7094245,-1.0
1073.709425,-1.0
1073.7094255,-0.6000000000000001
1073.7094260000001,-0.8
1073.7094265,-0.4
1073.709427,-0.4
1073.7094275,0.0
1073.7094280000001,-0.2
1073.7094285,0.2
1073.709429,0.2
1073.7094295000002,0.6000000000000001
1073.70943,0.4
1073.7094305,1.0
1073.709431,0.8
1073.7094315000002,1.2000000000000002
1073.709432,1.0
1073.7094325,1.6
1073.709433,1.4000000000000001
1073.7094335000002,1.8
1073.709434,1.6
1073.7094345,2.2
1073.709435,2.0
1073.7094355000002,2.4000000000000004
1073.709436,2.2
1073.7094365,2.6
1073.709437,2.4000000000000004
1073.7094375000001,2.6
1073.709438,2.6
1073.7094385,2.8000000000000003
1073.709439,2.6
1073.7094395000001,3.0
1073.70944,2.8000000000000003
1073.7094405,3.0
1073.709441,2.8000000000000003
1073.7094415000001,3.0
1073.709442,2.8000000000000003
1073.7094425,3.0
1073.709443,3.0
1073.7094435000001,2.6
1073.709444,2.8000000000000003
1073.7094445,2.4000000000000004
1073.709445,2.8000000000000003
1073.7094455000001,2.4000000000000004
1073.709446,2.6
1073.7094465,2.2
1073.709447,2.4000000000000004
1073.7094475000001,2.0
1073.709448,2.2
1073.7094485,1.8
1073.709449,2.0
1073.7094495000001,1.6
1073.70945,1.6
1073.7094505,1.2000000000000002
1073.7094510000002,1.4000000000000001
1073.7094515000001,1.0
1073.709452,1.2000000000000002
1073.7094525,0.8
1073.7094530000002,0.8
1073.7094535,0.4
1073.709454,0.4
1073.7094545,0.0
1073.7094550000002,0.2
1073.7094555,-0.2
1073.709456,-0.2
1073.7094565,-0.6000000000000001
1073.7094570000002,-0.4
1073.7094575,-1.0
1073.709458,-0.8
1073.7094585,-1.2000000000000002
1073.7094590000002,-1.0
1073.7094595,-1.4000000000000001
1073.70946,-1.2000000000000002
1073.7094605,-1.6
1073.7094610000001,-1.4000000000000001
1073.7094615,-1.8
1073.709462,-1.6
1073.7094625,-2.0
1073.7094630000001,-1.8
1073.7094635,-2.2
1073.709464,-2.0
1073.7094645,-2.2
1073.7094650000001,-2.0
1073.7094655,-2.4000000000000004
1073.709466,-2.4000000000000004
1073.7094665,-2.0
1073.7094670000001,-2.4000000000000004
1073.7094675,-2.0
1073.709468,-2.2
1073.7094685,-2.0
1073.7094690000001,-2.2
1073.7094695,-1.8
1073.70947,-2.0
1073.7094705,-1.8
1073.7094710000001,-2.0
1073.7094715,-1.6
1073.709472,-1.8
1073.7094725,-1.4000000000000001
1073.7094730000001,-1.6
1073.7094735,-1.2000000000000002
1073.709474,-1.2000000000000002
1073.7094745000002,-1.0
1073.709475,-1.0
1073.7094755,-0.6000000000000001
1073.709476,-0.8
1073.7094765000002,-0.2
1073.709477,-0.4
1073.7094775,0.0
1073.709478,-0.2
1073.7094785000002,0.4
1073.709479,0.2
1073.7094795,0.6000000000000001
1073.70948,0.4
1073.7094805000002,1.0
1073.709481,0.8
1073.7094815,1.4000000000000001
1073.709482,1.4000000000000001
1073.7094825000001,1.0
1073.709483,1.4000000000000001
1073.7094835,1.8
1073.709484,1.6
1073.7094845000001,2.0
1073.709485,2.2
1073.7094855,2.0
1073.709486,2.0
1073.7094865000001,2.6
1073.709487,2.2
1073.7094875,2.6
1073.709488,2.4000000000000004
1073.7094885000001,2.8000000000000003
1073.709489,2.6
1073.7094895,2.8000000000000003
1073.70949,2.6
1073.7094905000001,3.0
1073.709491,3.0
1073.7094915,2.8000000000000003
1073.709492,2.8000000000000003
1073.7094925000001,3.0
1073.709493,2.6
1073.7094935,3.0
1073.709494,2.8000000000000003
1073.7094945000001,2.6
1073.709495,2.8000000000000003
1073.7094955,2.4000000000000004
1073.7094960000002,2.6
1073.7094965000001,2.2
1073.709497,2.4000000000000004
1073.7094975,2.0
1073.7094980000002,2.2
1073.7094985,1.8
1073.709499,2.0
1073.7094995,1.6
1073.7095000000002,1.6
1073.7095005,1.2000000000000002
1073.709501,1.4000000000000001
1073.7095015,1.0
1073.7095020000002,1.2000000000000002
1073.7095025,0.6000000000000001
1073.709503,0.8
1073.7095035,0.4
1073.7095040000002,0.6000000000000001
1073.7095045,0.0
1073.709505,0.2
1073.7095055,-0.4
1073.7095060000001,-0.2
1073.7095065,-0.6000000000000001
1073.709507,-0.4
1073.7095075,-1.0
1073.7095080000001,-0.8
1073.7095085,-1.2000000000000002
1073.709509,-1.0
1073.7095095,-1.4000000000000001
1073.7095100000001,-1.2000000000000002
1073.7095105,-1.8
1073.709511,-1.4000000000000001
1073.7095115,-1.8
1073.7095120000001,-1.6
1073.7095125,-2.0
1073.709513,-1.8
1073.7095135,-2.2
1073.7095140000001,-2.0
1073.7095145,-2.2
1073.709515,-2.2
1073.7095155,-2.0
1073.7095160000001,-2.0
1073.7095165,-2.4000000000000004
1073.709517,-2.0
1073.7095175,-2.4000000000000004
1073.7095180000001,-2.0
1073.7095185,-2.4000000000000004
1073.709519,-2.0
1073.7095195000002,-2.2
1073.70952,-2.0
1073.7095205,-1.8
1073.709521,-1.6
1073.7095215000002,-2.0
1073.709522,-1.8
1073.7095225,-1.2000000000000002
1073.709523,-1.4000000000000001
1073.7095235000002,-1.2000000000000002
1073.709524,-1.2000000000000002
1073.7095245,-0.8
1073.709525,-1.0
1073.7095255000002,-0.6000000000000001
1073.709526,-0.8
1073.7095265,-0.4
1073.709527,-0.4
1073.7095275000001,0.0
1073.709528,-0.2
1073.7095285,0.4
1073.709529,0.2
1073.7095295000001,0.6000000000000001
1073.70953,0.4
1073.7095305,0.8
1073.709531,0.8
1073.7095315000001,1.4000000000000001
1073.709532,1.0
1073.7095325,1.6
1073.709533,1.4000000000000001
1073.7095335000001,1.8
1073.709534,1.6
1073.7095345,2.0
1073.709535,1.8
1073.7095355000001,2.2
1073.709536,2.2
1073.7095365,2.4000000000000004
1073.709537,2.4000000000000004
1073.7095375000001,2.6
1073.709538,2.4000000000000004
1073.7095385,2.8000000000000003
1073.709539,2.6
1073.7095395000001,3.0
1073.70954,3.0
1073.7095405,2.6
1073.7095410000002,2.8000000000000003
1073.7095415000001,3.0
1073.709542,2.8000000000000003
1073.7095425,3.0
1073.7095430000002,3.0
1073.7095435,2.6
1073.709544,2.8000000000000003
1073.7095445,2.6
1073.7095450000002,2.8000000000000003
1073.7095455,2.4000000000000004
1073.709546,2.6
1073.7095465,2.0
1073.7095470000002,2.4000000000000004
1073.7095475,2.0
1073.709548,2.2
1073.7095485,1.8
1073.7095490000002,2.0
1073.7095495,1.6
1073.70955,1.6
1073.7095505,1.2000000000000002
1073.7095510000001,1.4000000000000001
1073.7095515,1.0
1073.709552,1.2000000000000002
1073.7095525,0.8
1073.7095530000001,1.0
1073.7095535,0.4
1073.709554,0.4
1073.7095545,0.0
1073.7095550000001,0.2
